doi,inspire_id,title,num_authors,journal_title,journal_volume,year,page_start,page_end,arxiv_eprint,record_url
10.1088/1475-7516/2025/01/079,2822762,"Gravitino thermal production, dark matter, and reheating of the Universe",3,JCAP,01,2025,079,,2408.16043,https://inspirehep.net/record/2822762
10.22323/1.474.0007,2937126,Natural Metric-Affine Inflation,2,Proceedings of 2nd Training School and General Meeting of the COST Action COSMIC WISPers  (CA21106) — PoS(COSMICWISPers2024),,2025,007,,,https://inspirehep.net/record/2937126
10.1007/978-3-031-76856-9_22,2843531,Cosmic Inflation in Metric-Affine Gravity,2,,,2025,243,254,2410.22263,https://inspirehep.net/record/2843531
10.3176/proc.2024.4.08,2897699,Comparative feasibility study of partial power converter for interfacing battery energy storage into power system of future circular collider,4,Proceedings of the Estonian Academy of Sciences,73,2024,396,415,,https://inspirehep.net/record/2897699
10.1016/j.physletb.2024.138518,2706679,"Study of azimuthal anisotropy of ϒ(1S) mesons in pPb collisions at <math altimg=""si1.svg""><msqrt><mrow><msub><mrow><mi>s</mi></mrow><mrow><msub><mrow/><mrow><mi mathvariant=""normal"">NN</mi></mrow></msub></mrow></msub></mrow></msqrt></math> = 8.16 TeV",2368,Phys.Lett.B,850,2024,,,2310.03233,https://inspirehep.net/record/2706679
10.1016/j.physletb.2024.138478,2719537,"Search for new Higgs bosons via same-sign top quark pair production in association with a jet in proton-proton collisions at <math altimg=""si1.svg""><msqrt><mrow><mi>s</mi></mrow></msqrt><mo linebreak=""goodbreak"" linebreakstyle=""after"">=</mo><mn>13</mn><mspace width=""0.2em""/><mtext>TeV</mtext></math>",2349,Phys.Lett.B,850,2024,,,2311.03261,https://inspirehep.net/record/2719537
10.1103/PhysRevD.110.112016,2829523,"Measurements of polarization and spin correlation and observation of entanglement in top quark pairs using <math display=""inline""><mrow><mi>lepton</mi><mo>+</mo><mtext>jets</mtext></mrow></math> events from proton-proton collisions at <math display=""inline""><msqrt><mi>s</mi></msqrt><mo>=</mo><mn>13</mn><mtext> </mtext><mtext> </mtext><mi>TeV</mi></math>",2403,Phys.Rev.D,110,2024,,,2409.11067,https://inspirehep.net/record/2829523
10.1007/JHEP12(2024)172,2812281,Model-independent search for pair production of new bosons decaying into muons in proton-proton collisions at $\sqrt{s}$ = 13 TeV,2378,JHEP,12,2024,172,,2407.20425,https://inspirehep.net/record/2812281
10.1103/PhysRevLett.132.241802,2762774,Search for baryon number violation in top quark production and decay using proton-proton collisions at $\sqrt{s}$ = 13 TeV,2335,Phys.Rev.Lett.,132,2024,,,2402.18461,https://inspirehep.net/record/2762774
10.1103/23b3-9d7q,2913469,Palatini linear attractors are back in action,2,Phys.Rev.D,111,2025,,,2504.12937,https://inspirehep.net/record/2913469
10.3847/1538-4357/adc0a2,2900554,Cosmic Filament Spin. II. Filament Spin and Its Impact on Galaxy Spin–Filament Alignment in a Cosmological Simulation,10,Astrophys.J.,983,2025,100,,2503.10844,https://inspirehep.net/record/2900554
10.1103/PhysRevD.111.084075,2822467,Crystallized white dwarf stars in scalar-tensor gravity,4,Phys.Rev.D,111,2025,,,2408.15937,https://inspirehep.net/record/2822467
10.1051/0004-6361/202553759,2869743,The COSMOS-Web deep galaxy group catalog up to z = 3.7,44,Astron.Astrophys.,697,2025,A197,,2501.09060,https://inspirehep.net/record/2869743
10.3390/universe11060167,2926354,Galaxy Superclusters and Their Complexes in the Cosmic Web,1,Universe,11,2025,167,,2505.22082,https://inspirehep.net/record/2926354
10.1088/1475-7516/2025/05/062,2871070,Reconstructing primordial curvature perturbations via scalar-induced gravitational waves with LISA,20,JCAP,05,2025,062,,2501.11320,https://inspirehep.net/record/2871070
10.1088/1475-7516/2025/05/001,2875290,The irrelevance of primordial black hole clustering in the LVK mass range,9,JCAP,05,2025,001,,2502.01617,https://inspirehep.net/record/2875290
10.1088/1475-7516/2025/05/097,2872269,How deep is the dip and how tall are the wiggles in inflationary power spectra?,6,JCAP,05,2025,097,,2501.14681,https://inspirehep.net/record/2872269
10.1088/1475-7516/2025/05/097,2872269,How deep is the dip and how tall are the wiggles in inflationary power spectra?,6,JCAP,05,2025,097,,2501.14681,https://inspirehep.net/record/2872269
10.3847/2041-8213/ade66d,2938503,Evolution of Cluster Alignments as Evidence of Large-scale Structure Formation in the Universe,7,,,,,,2506.19826,https://inspirehep.net/record/2938503
10.1140/epjc/s10052-025-14411-7,2898824,Global portraits of inflation in nonsingular variables,2,Eur.Phys.J.C,85,2025,715,,2503.07544,https://inspirehep.net/record/2898824
10.1103/PhysRevD.110.104030,2781669,Weak equivalence principle and nonrelativistic limit of general dispersion relations,3,Phys.Rev.D,110,2024,,,2404.18811,https://inspirehep.net/record/2781669
